"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"657","Land","Thousands",84,90,97,NA,NA,6,3,15,NA,NA,NA,19,27,45,27,37,66,267,233.4,242.4,239,77.8,76.1,NA,NA,NA,NA,NA,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
"658","Air","Thousands",1207,940,1034,874,1022,1113,1294,1540,1395,1822,2335,2702,3301,3283,3025,4062,5032,5576,5980,6220,6271,8261,10910.3,12485,14377.5,3083.2,111.1,3277.2,"VIET NAM"
"659","Water","Thousands",21,162,131,157,188,256,285,309,241,263,200,224,225,152,66,50,46,286,193,48,170,285,258.8,215.3,264.1,144.7,0.6,3.1,"VIET NAM"
"660","Land","Thousands",123,505,550,489,572,771,751,779,793,843,942,657,703,801,656,938,936,986,1399,1606,1503,1467,1753,2797.5,3367,609.4,45.6,380.9,"VIET NAM"
"661","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,144,143,492,424,268.3,382,411,NA,178.7,NA,NA,NA,NA,NA,NA,NA,"YEMEN"
"662","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,13,9,8,2.4,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,"YEMEN"
"663","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,233,248,527,593,558.4,490,576,NA,187,NA,NA,NA,NA,NA,NA,NA,"YEMEN"
"664","Air","Thousands",41,31,36,42,46,57,62,71,104,137,164,227,281,236,191,249,297,252,241,262.4,272.8,285.5,294,319,326.5,89.2,105.6,NA,"ZAMBIA"
"665","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,4.3,3.2,7.1,7.3,4.5,6.3,2.6,6.7,NA,"ZAMBIA"
"666","Land","Thousands",122,233,305,320,358,401,430,494,309,378,504,530,616,576,519,566,623,599,666,680.3,655.9,663.7,707.8,748.6,933.6,409.8,442,NA,"ZAMBIA"
"667","Air","Thousands",NA,NA,NA,324,504,463,452,340,340,330,327,275,982,429,573,326,350,228,223,198,280.6,239,310.1,337.2,320.8,77.3,147.4,367,"ZIMBABWE"
"668","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZIMBABWE"
"669","Land","Thousands",NA,NA,NA,1763,1746,1504,2311,1738,2016,1524,1231,2012,1524,1526,1444,1913,2073,1566,1610,1682,1776,1929,2112.8,2242.8,1973.4,562.1,233.4,676.8,"ZIMBABWE"
